name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
Palmitoleic acid,Lipids and lipid-like molecules,1.59030413,0.011274395,0.002175602,2.850948792,0.05048968,1,1.511442126,0.011274395
1-Dodecanol,Lipids and lipid-like molecules,1.526906232,0.012559349,0.0003108,2.864322842,0.053528812,0.384149184,1.51819411,0.012559349
Cholest-4-en-3-one,Lipids and lipid-like molecules,1.218379888,0.015915314,0.04009324,2.117572941,0.061665606,1,1.082411665,0.015915314
Docosahexaenoic acid,Lipids and lipid-like molecules,1.105183741,0.016168353,0.054079254,1.971508256,0.062450265,1,0.979299752,0.016168353
Prostaglandin A2,Lipids and lipid-like molecules,0.972725716,0.018649422,0.013986014,1.789960065,0.06759732,1,0.8399274,0.018649422
Tetracosanoic acid,Lipids and lipid-like molecules,1.555658011,0.023514057,0.0003108,2.668839531,0.076281822,0.384149184,1.416212564,0.023514057
"5,8,11,14-Icosatetraenoic Acid",Lipids and lipid-like molecules,1.282688723,0.025190518,0.020512821,1.186354391,0.079427246,1,0.24653504,0.025190518
Ethylmalonic acid,Lipids and lipid-like molecules,0.860743333,0.029716221,0.009324009,1.538561843,0.087861917,1,0.621582435,0.029716221
Cholestan-3-one,Lipids and lipid-like molecules,1.067252801,0.03461379,0.072105672,1.439961079,0.097012798,1,0.526029817,0.03461379
3-Hydroxymyristic acid,Lipids and lipid-like molecules,0.944729462,0.035839726,0.04009324,2.095447973,0.099100452,1,1.067258702,0.035839726
Azelaic acid,Lipids and lipid-like molecules,1.012781113,0.036299408,0.020512821,1.513179576,0.099924428,1,0.597583209,0.036299408
6-Aminohexanoate,Lipids and lipid-like molecules,1.431768194,0.036696689,0.003729604,11.66476749,0.100612497,1,3.544085646,0.036696689
sn-Glycerol-1-phosphate,Lipids and lipid-like molecules,1.18750915,0.042110302,0.054079254,1.551498865,0.110741135,1,0.633662642,0.042110302
Octadecanol,Lipids and lipid-like molecules,1.341167591,0.042949007,0.001243201,1.830965128,0.111523052,1,0.872604314,0.042949007
"3,4,5,6-Tetrahydroxy-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexanal",Lipids and lipid-like molecules,1.236036181,0.048972759,0.003729604,2.508777279,0.122347099,1,1.326984398,0.048972759
LPC 22:5,LPC,1.307705735,2.07E-05,0.001445781,7.322587942,0.001828541,1,2.872353615,2.07E-05
LPC 20:0,LPC,1.635598917,0.000325898,0.000621601,2.975006029,0.009080312,0.768298368,1.572892592,0.000325898
LPC 22:1,LPC,1.587594859,0.001188823,0.003139993,2.490478913,0.015756467,1,1.316423195,0.001188823
LPC O-14:0,LPC,1.353470726,0.001427075,0.006345705,3.437526865,0.017464012,1,1.781370988,0.001427075
LPC 20:2/0:0,LPC,1.199454622,0.001504088,0.0003108,2.345616622,0.018087668,0.384149184,1.229967232,0.001504088
LPC 19:0/0:0,LPC,1.067807934,0.001624268,0.001243201,3.000771802,0.018870893,1,1.585333611,0.001624268
LPC 22:6,LPC,1.441853282,0.002393758,0.004434109,2.112599318,0.023860367,1,1.079019167,0.002393758
LPC 17:0/0:0,LPC,1.237584662,0.00298843,0.003729604,3.421257163,0.027882362,1,1.77452655,0.00298843
LPC 21:0/0:0,LPC,1.184719743,0.003378555,0.005905206,2.560102099,0.029655349,1,1.356201347,0.003378555
LPC 18:2,LPC,1.181288467,0.003647304,0.001243201,2.558073161,0.02973103,1,1.355057526,0.003647304
LPC 22:2/0:0,LPC,1.37484335,0.004064257,0.003729604,2.266413453,0.030582366,1,1.18041107,0.004064257
LPC 24:2/0:0,LPC,0.953065317,0.008248049,0.013986014,2.023700367,0.042655183,1,1.016995698,0.008248049
LPC 16:0/0:0,LPC,0.949930859,0.017536691,0.002175602,1.839354302,0.065227946,1,0.879199402,0.017536691
LPC 17:1/0:0,LPC,1.059713416,0.022126673,0.013986014,1.961539262,0.07431676,1,0.971986212,0.022126673
LPC 18:3,LPC,0.976174928,0.025768473,0.055977451,2.040539654,0.08022628,1,1.028950747,0.025768473
LPC 18:1,LPC,0.784862173,0.030487101,0.028904429,1.79476353,0.089082876,1,0.843793773,0.030487101
LPC 20:4/0:0,LPC,0.890813478,0.031144419,0.04009324,1.825784857,0.090553568,1,0.868516774,0.031144419
LPC O-16:1,LPC,0.922354973,0.03126401,0.020512821,1.788149602,0.090553568,1,0.838467442,0.03126401
LPC 20:3/0:0,LPC,1.139576886,0.037785585,0.072105672,1.619326394,0.102418823,1,0.695393807,0.037785585
LPE 20:2,LPE,0.892984111,0.003022845,0.003729604,1.926658801,0.027882362,1,0.946101102,0.003022845
LPE 20:1,LPE,1.40443161,0.003450368,0.002175602,1.529274694,0.029655349,1,0.612847573,0.003450368
LPE 19:0,LPE,0.878383479,0.003735813,0.009324009,2.1527798,0.02973103,1,1.106200759,0.003735813
LPE 20:4,LPE,0.688908133,0.003945305,0.009324009,2.03361027,0.03047748,1,1.024043221,0.003945305
LPE 22:6,LPE,1.086076544,0.004099814,0.012761159,2.638316717,0.030582366,1,1.399617763,0.004099814
LPE 17:0,LPE,0.901865552,0.00430773,0.005905206,2.131542356,0.030972927,1,1.091897724,0.00430773
LPE 20:0,LPE,1.268101183,0.004335207,0.003729604,1.887721118,0.030972927,1,0.916645644,0.004335207
LPE 18:1,LPE,0.785903495,0.005724771,0.013986014,2.145579576,0.036255954,1,1.101367409,0.005724771
LPE O-18:3,LPE,0.704686226,0.00799943,0.013986014,1.874328798,0.042073596,1,0.906374055,0.00799943
